a12aa
Präkambrium

rezent
"Hadaikum (4000 - 4600)"
"Sakmarium (284.4 - 294.6)"
"Chattium (23.03 - 28.4)"
"Ediacarium (542.0 - 635)"
"Karbon (299.0 - 359.2)"
"Pleistozän (0.0117 - 2.588)"
"Rotliegendes (~257 - ~302)"
"Jungpleistozän (Tarantium) (0.0117 - 0.126)"
"Priabonium (33.9 - 37.2)"
"Quartär (0 - 2.588)"
"Serravallium (11.608 - 13.82)"
"Tithonium (145.5 - 150.8)"
"Berriasium (140.2 - 145.5)"
"Paläogen (23.03 - 65.5)"
Tertiär
"Bartonium (37.2 - 40.4)"
"Callovium (161.2 - 164.7)"
"Oberkreide (65.5 - 99.6)"
"Muschelkalk (Mitteltrias) (228.7 - 245.9)"
"Kreide (65.5 - 145.5)"
"Zancleum (3.600 - 5.332) "
"Mitteldevon (385.3 - 397.5)"
"Miozän (5.332 - 23.03)"
"Lutetium (40.4 - 48.6)"
"Paläozän (55.8 - 65.5)"
"Oligozän (23.03 - 33.9)"
"Paläozoikum (251.0 - 542.0)"
"Kambrium (488.3 - 542.0)"
"Frasnium (374.5 - 385.3)"
"Mitteljura (161.2 - 175.6)"
"Viséum (328.3 - 345.3)"
"Känozoikum (0 -  65.5)"
"Malm (Oberjura) (145.5 - 161.2)"
"Silur (416.0 - 443.7)"
"Toarcium (175.6 - 183.0)"
"Mississippium (318.1 - 359.2)"
"Mittelpleistozän (Ionium) (0.126 - 0.781)"
"Emsium (397.5 - 407.0)"
"Givetium (385.3 - 391.8)"
"Oxfordium (155.6 - 161.2)"
"Bajocium (167.7 - 171.6)"
"Hettangium (196.5 - 199.6)"
"Pliensbachium (183.0 - 189.6)"
"Tarantium (0.0117 - 0.126)"
"Rupelium (28.4 - 33.9)"
"Neogen (2.588 - 23.03)"
"Buntsandstein (Untertrias) (245.9 - 251.0)"
"Lias (Unterjura) (175.6 - 199.6)"
"Llandovery (428.2 - 443.7)  "
"Maastrichtium (65.5 - 70.6)"
